gender,region,parent_education_level,internet_access_quality,financial_stress_index,num_courses_enrolled,study_hours_per_week,sleep_hours_avg,extracurricular_count,prev_gpa,assignment_submission_rate,midterm_score,target
Male,Urban,Bachelors,Good,2,4,6.78821042304701,9.333821172237869,3,3.043752009035485,86.09305438390123,73.95066069230069,Pass
Female,Urban,Masters,Average,10,5,11.018931574571312,4.928953567449346,3,1.879567969694847,43.10891384324589,47.59719460758679,Fail
Female,Rural,Bachelors,Excellent,1,4,19.354616460338598,7.8123442023075285,1,2.5777661279442885,56.86896923670522,74.2544857653958,At-Risk
Female,Urban,High School,Good,10,5,17.28641524021601,7.094185104750688,1,2.5418183820662326,70.62938301142212,57.25070437663838,At-Risk
Male,Urban,High School,Average,8,3,17.12965891323157,6.221222595436758,2,2.487490576288274,49.146904200314104,57.32197861403087,At-Risk
Male,Suburban,High School,Excellent,9,5,15.954263528797949,5.360116014332207,1,1.7786531591955381,40.729687556998854,50.53074818013892,Fail
Male,Urban,High School,Good,7,4,19.755999425339567,8.577879494481968,1,2.515676593183026,64.03467823363883,77.20246128587101,At-Risk
Female,Suburban,Bachelors,Poor,8,5,18.904883021987295,7.311984494387434,1,3.0356900385039243,81.18244234806288,95.68564266902834,Pass
Female,Urban,Bachelors,Good,4,3,13.547219301402498,6.6893049947466885,2,2.594685338811065,73.09361368725325,53.260648089931834,At-Risk
Female,Urban,High School,Average,4,5,9.003707500365365,7.813573170249733,0,2.692573881507041,77.10087659182194,63.95746202754553,At-Risk
Male,Urban,High School,Excellent,2,4,6.549673694034263,6.808778818721323,2,2.675644619598167,63.86637690602947,58.63877259918184,At-Risk
Non-binary,Urban,High School,Excellent,8,3,14.481806373814496,5.943892417379381,0,1.9124319049166751,57.385930242134854,54.58321102610531,At-Risk
Female,Rural,Bachelors,Excellent,2,4,5.8004916787811975,7.193428071918324,1,2.028731091692499,55.77976985408504,51.20521660053307,At-Risk
Male,Urban,High School,Good,9,5,16.254983618377047,6.957991054627222,2,2.4467592466106023,68.38105427813974,68.19128016497505,At-Risk
Male,Suburban,Bachelors,Good,4,6,13.45984230941295,4.338718072722453,2,2.024218201675453,44.2676340839904,47.44453982096439,Fail
Male,Urban,High School,Good,1,4,24.719555182307193,6.055650107836086,0,2.8623872360443174,78.21076145368495,77.15590493655024,Pass
Male,Urban,Masters,Average,4,5,16.715646362461534,5.103407498198389,2,2.8033346261991428,68.55586370823433,68.6518438009815,At-Risk
Female,Rural,Masters,Good,3,6,14.853874102188408,4.522896587266452,2,2.108798987942184,53.19865797020648,53.85781857220954,At-Risk
Male,Urban,High School,Good,6,6,6.919151401348355,7.701549059383929,3,2.256798178524147,58.07137036353738,51.81002670670097,At-Risk
Male,Suburban,High School,Poor,7,3,8.688394573419979,5.996849605255138,0,1.845631727291631,67.2726445422992,57.02114210409127,At-Risk
Female,Rural,Bachelors,Good,8,6,18.406770711331347,8.562109443278688,2,2.1636328264546365,44.94226390777342,43.98908170454241,Fail
Male,Suburban,High School,Excellent,2,4,13.434516695054667,4.2571055254840875,2,2.604429548582252,77.00390275023356,64.2008979308144,At-Risk
Male,Rural,Bachelors,Excellent,6,4,27.676878740197502,6.553369097750161,1,3.121353478463979,92.33756230182455,92.28090882511083,Pass
Male,Urban,Masters,Poor,6,6,14.584743525823693,6.076110536085337,3,2.286875768893401,65.42778339012403,67.37974810416574,At-Risk
